Time (Sec),Analog Input 0,Analog Input 1
0.093,4.87,4.21
0.094,4.86,4.21
0.095,4.86,4.21
0.095,4.87,4.21
0.096,4.86,4.21
0.096,4.86,4.2
0.097,4.86,4.21
0.097,4.87,4.21
0.098,4.87,4.21
0.098,4.86,4.2
0.099,4.86,4.21
0.099,4.87,4.21
0.1,4.87,4.21
0.1,4.86,4.21
0.101,4.86,4.21
0.101,4.86,4.21
0.102,4.86,4.21
0.102,4.87,4.21
0.103,4.86,4.22
0.103,4.87,4.22
0.104,4.86,4.21
0.104,4.86,4.22
0.104,4.87,4.23
0.105,4.86,4.21
0.105,4.86,4.22
0.106,4.87,4.22
0.106,4.87,4.22
0.107,4.87,4.22
0.107,4.86,4.22
0.108,4.86,4.22
0.108,4.86,4.22
0.109,4.87,4.23
0.11,4.87,4.22
0.11,4.86,4.21
0.111,4.86,4.22
0.111,4.87,4.22
0.112,4.87,4.21
0.112,4.86,4.21
0.113,4.86,4.21
0.113,4.86,4.21
0.114,4.86,4.21
0.114,4.86,4.21
0.115,4.86,4.21
0.115,4.87,4.21
0.116,4.86,4.21
0.116,4.86,4.2
0.117,4.86,4.21
0.117,4.86,4.21
0.118,4.87,4.21
0.118,4.86,4.21
0.119,4.86,4.2
0.119,4.85,4.21
0.12,4.87,4.22
0.12,4.07,3.12
0.12,4.07,3.1
0.121,4.07,3.1
0.121,4.07,3.09
0.122,4.07,3.08
0.122,4.08,3.08
0.123,4.09,3.08
0.123,4.09,3.08
0.124,4.09,3.07
0.124,4.09,3.07
0.125,4.1,3.07
0.126,4.11,3.07
0.126,4.09,3.06
0.127,4.1,3.05
0.127,4.1,3.05
0.128,4.1,3.04
0.128,4.08,3.03
0.129,4.07,3.01
0.129,4.07,3.0
0.13,4.06,2.99
0.13,4.04,2.97
0.131,4.02,2.95
0.131,4.0,2.94
0.132,4.0,2.92
0.132,3.98,2.9
0.133,3.96,2.88
0.133,3.95,2.87
0.134,3.94,2.86
0.134,3.94,2.86
0.135,3.93,2.85
0.135,4.65,3.69
0.136,4.75,3.83
0.136,4.78,3.92
0.137,4.8,3.97
0.137,4.82,4.01
0.138,4.83,4.04
0.138,4.83,4.07
0.139,4.84,4.09
0.139,4.84,4.1
0.14,4.85,4.12
0.14,4.85,4.13
0.141,4.85,4.14
0.141,4.85,4.15
0.142,4.86,4.16
0.142,4.86,4.16
0.143,4.85,4.16
0.143,4.85,4.17
0.144,4.86,4.17
0.144,4.86,4.18
0.144,4.86,4.18
0.145,4.86,4.18
0.145,4.86,4.19
0.146,4.86,4.19
0.146,4.86,4.19
0.147,4.86,4.19
0.147,4.86,4.19
0.148,4.87,4.19
0.148,4.86,4.19
0.149,4.85,4.19
0.149,4.86,4.19
0.15,4.86,4.2
0.15,4.86,4.2
0.151,4.86,4.2
0.151,4.86,4.2
0.152,4.86,4.2
0.152,4.86,4.19
0.153,4.85,4.2
0.153,4.86,4.2
0.154,4.86,4.2
0.154,4.85,4.2
0.155,4.86,4.19
0.155,4.86,4.19
0.156,4.85,4.19
0.157,4.86,4.2
0.157,4.87,4.21
0.158,4.86,4.2
0.158,4.86,4.2
0.159,4.85,4.2
0.159,4.86,4.2
0.16,4.86,4.2
0.16,4.86,4.2
0.161,4.86,4.2
0.161,4.86,4.2
0.162,4.86,4.2
0.162,4.86,4.21
0.163,4.86,4.2
0.163,4.86,4.2
0.164,4.86,4.21
0.164,4.87,4.21
0.165,4.86,4.2
0.165,4.86,4.2
0.166,4.86,4.2
0.166,4.86,4.2
0.167,4.86,4.2
0.167,4.86,4.2
0.168,4.86,4.2
0.168,4.86,4.2
0.169,4.86,4.2
0.169,4.86,4.2
0.17,4.86,4.2
0.17,4.86,4.19
0.171,4.86,4.19
0.171,4.85,4.19
0.172,4.84,4.06
0.172,4.74,3.95
0.173,4.68,3.86
0.173,4.61,3.77
0.174,4.55,3.71
0.174,4.5,3.65
0.175,4.46,3.59
0.175,4.41,3.54
0.176,4.38,3.5
0.176,4.35,3.46
0.176,4.33,3.43
0.177,4.3,3.4
0.177,4.28,3.37
0.178,4.27,3.34
0.178,4.26,3.33
0.179,4.25,3.31
0.179,4.23,3.29
0.18,4.02,2.93
0.18,4.03,2.93
0.181,4.04,2.93
0.181,4.05,2.94
0.182,4.06,2.95
0.182,4.06,2.94
0.183,4.06,2.94
0.183,4.07,2.94
0.184,4.06,2.94
0.184,4.06,2.93
0.185,4.05,2.92
0.185,4.04,2.91
0.186,4.03,2.9
0.186,4.02,2.89
0.187,4.01,2.88
0.188,3.99,2.86
0.188,3.97,2.84
0.189,3.96,2.83
0.189,3.95,2.82
0.19,3.94,2.81
0.19,3.94,2.8
0.191,3.93,2.79
0.191,3.93,2.79
0.192,3.92,2.78
0.192,3.93,2.79
0.193,3.94,2.79
0.193,3.94,2.79
0.194,3.95,2.8
0.194,3.96,2.81
0.195,3.97,2.82
0.195,4.85,4.17
0.196,4.85,4.17
0.196,4.85,4.18
0.197,4.86,4.18
0.197,4.85,4.18
0.198,4.85,4.18
0.198,4.85,4.18
0.199,4.86,4.18
0.199,4.86,4.18
0.2,4.85,4.18
0.2,4.86,4.19
0.201,4.86,4.19
0.201,4.86,4.18
0.202,4.85,4.19
0.202,4.85,4.19
0.203,4.86,4.19
0.203,4.86,4.18
0.204,4.85,4.19
0.204,4.86,4.18
0.205,4.85,4.18
0.205,4.85,4.18
0.206,4.86,4.18
0.206,4.85,4.18
0.207,4.86,4.19
0.207,4.85,4.18
0.208,4.85,4.18
0.208,4.86,4.18
0.208,4.85,4.18
0.209,4.85,4.18
0.209,4.85,4.18
0.21,4.86,4.19
0.21,4.86,4.18
0.211,4.86,4.18
0.211,4.85,4.18
0.212,4.85,4.2
0.212,4.85,4.18
0.213,4.85,4.18
0.213,4.85,4.19
0.214,4.85,4.18
0.214,4.85,4.18
0.215,4.86,4.19
0.215,4.85,4.19
0.216,4.85,4.19
0.216,4.87,4.2
0.217,4.86,4.17
0.217,4.86,4.18
0.218,4.85,4.19
0.218,4.84,4.19
0.219,4.86,4.19
0.22,4.86,4.19
0.22,4.85,4.18
0.221,4.85,4.2
0.221,4.86,4.19
0.222,4.86,4.19
0.222,4.85,4.19
0.223,4.86,4.18
0.223,4.85,4.19
0.224,4.85,4.19
0.224,4.85,4.17
0.225,4.85,4.19
0.225,4.24,3.29
0.226,4.21,3.26
0.226,4.18,3.23
0.227,4.16,3.2
0.227,4.13,3.17
0.228,4.11,3.14
0.228,4.09,3.11
0.229,4.06,3.09
0.229,4.06,3.08
0.23,4.04,3.06
0.23,4.03,3.04
0.231,4.03,3.03
0.231,4.02,3.02
0.232,4.02,3.01
0.232,4.02,3.01
0.233,4.03,3.0
0.233,4.03,3.0
0.234,4.03,3.0
0.234,4.04,3.0
0.235,4.04,3.0
0.235,4.05,3.0
0.236,4.06,3.0
0.236,4.07,3.0
0.237,4.07,3.0
0.237,4.08,3.0
0.238,4.08,3.0
0.238,4.08,3.0
0.239,4.08,3.0
0.239,4.08,2.98
0.24,4.07,2.97
0.24,4.07,2.91
0.24,4.08,2.91
0.241,4.08,2.91
0.241,4.07,2.93
0.242,4.21,3.14
0.242,4.44,3.39
0.243,4.61,3.61
0.243,4.71,3.77
0.244,4.77,3.87
0.244,4.79,3.94
0.245,4.81,3.97
0.245,4.82,4.01
0.246,4.82,4.02
0.246,4.81,4.05
0.247,4.83,4.07
0.247,4.84,4.09
0.248,4.85,4.1
0.248,4.85,4.11
0.249,4.85,4.11
0.249,4.84,4.12
0.25,4.85,4.13
0.251,4.86,4.15
0.251,4.87,4.15
0.252,4.86,4.14
0.252,4.84,4.14
0.253,4.84,4.14
0.253,4.85,4.15
0.254,4.85,4.16
0.254,4.85,4.16
0.255,4.85,4.16
0.255,4.86,4.18
0.256,4.86,4.18
0.256,4.86,4.18
0.257,4.86,4.19
0.257,4.86,4.19
0.258,4.86,4.19
0.258,4.85,4.18
0.259,4.85,4.19
0.259,4.86,4.19
0.26,4.86,4.19
0.26,4.86,4.18
0.261,4.86,4.19
0.261,4.86,4.19
0.262,4.86,4.19
0.262,4.86,4.19
0.263,4.85,4.18
0.263,4.86,4.18
0.264,4.86,4.18
0.264,4.86,4.18
0.265,4.85,4.19
0.265,4.86,4.18
0.266,4.86,4.18
0.266,4.85,4.18
0.267,4.85,4.18
0.267,4.86,4.18
0.268,4.85,4.18
0.268,4.85,4.19
0.269,4.86,4.18
0.269,4.85,4.17
0.27,4.84,4.17
0.27,4.85,4.17
0.271,4.85,4.18
0.271,4.85,4.18
0.272,4.85,4.18
0.272,4.85,4.18
0.273,4.85,4.17
0.273,4.85,4.18
0.274,4.85,4.19
0.274,4.85,4.18
0.275,4.85,4.18
0.275,4.85,4.18
0.276,4.86,4.19
0.276,4.85,4.18
0.277,4.85,4.19
0.277,4.86,4.19
0.278,4.86,4.19
0.278,4.85,4.19
0.279,4.85,4.18
0.279,4.85,4.19
0.28,4.86,4.12
0.28,4.77,3.97
0.281,4.69,3.87
0.281,4.63,3.8
0.282,4.57,3.72
0.282,4.51,3.66
0.283,4.46,3.59
0.283,4.41,3.54
0.284,4.37,3.49
0.284,4.34,3.45
0.285,4.3,3.4
0.285,3.97,2.9
0.286,3.96,2.89
0.286,3.95,2.88
0.287,3.95,2.87
0.287,3.96,2.87
0.288,3.96,2.87
0.288,3.96,2.87
0.288,3.97,2.87
0.289,3.98,2.88
0.289,4.0,2.89
0.29,4.01,2.89
0.29,4.01,2.89
0.291,4.02,2.91
0.291,4.04,2.92
0.292,4.05,2.92
0.292,4.06,2.93
0.293,4.07,2.93
0.293,4.08,2.94
0.294,4.08,2.94
0.294,4.08,2.94
0.295,4.08,2.94
0.295,4.08,2.94
0.296,4.09,2.94
0.296,4.08,2.92
0.297,4.07,2.92
0.297,4.06,2.91
0.298,4.05,2.9
0.298,4.03,2.88
0.299,4.02,2.86
0.299,4.0,2.85
0.3,4.84,4.11
0.3,4.84,4.12
0.301,4.84,4.12
0.301,4.85,4.12
0.302,4.85,4.13
0.302,4.84,4.13
0.303,4.84,4.13
0.303,4.84,4.14
0.304,4.84,4.14
0.304,4.84,4.14
0.305,4.84,4.14
0.305,4.85,4.14
0.306,4.84,4.14
0.306,4.84,4.15
0.307,4.85,4.16
0.307,4.86,4.16
0.308,4.84,4.15
0.308,4.84,4.15
0.309,4.84,4.16
0.309,4.85,4.16
0.31,4.85,4.16
0.31,4.85,4.16
0.311,4.85,4.16
0.311,4.85,4.17
0.312,4.85,4.17
0.312,4.85,4.17
0.313,4.85,4.16
0.314,4.85,4.17
0.314,4.86,4.18
0.315,4.86,4.18
0.315,4.84,4.17
0.316,4.84,4.17
0.316,4.85,4.17
0.317,4.85,4.17
0.317,4.85,4.17
0.318,4.85,4.18
0.318,4.85,4.17
0.319,4.85,4.17
0.319,4.85,4.17
0.32,4.85,4.17
0.32,4.85,4.16
0.321,4.85,4.16
0.321,4.85,4.16
0.322,4.85,4.16
0.322,4.85,4.16
0.323,4.85,4.16
0.323,4.84,4.16
0.324,4.85,4.17
0.324,4.85,4.17
0.325,4.85,4.16
0.325,4.84,4.16
0.326,4.84,4.16
0.326,4.85,4.17
0.327,4.85,4.17
0.327,4.85,4.17
0.328,4.85,4.16
0.328,4.85,4.17
0.329,4.85,4.18
0.329,4.85,4.17
0.33,4.85,4.18
0.33,4.44,3.55
0.331,4.4,3.52
0.331,4.39,3.49
0.332,4.37,3.46
0.332,4.34,3.42
0.333,4.31,3.38
0.333,4.29,3.36
0.334,4.28,3.33
0.334,4.26,3.31
0.335,4.24,3.28
0.335,4.22,3.25
0.336,4.2,3.23
0.336,4.18,3.2
0.337,4.16,3.18
0.337,4.14,3.15
0.338,4.12,3.12
0.338,4.09,3.09
0.339,4.07,3.07
0.339,4.06,3.05
0.34,4.04,3.03
0.34,4.03,3.02
0.341,4.02,3.0
0.341,4.01,2.98
0.342,4.0,2.97
0.342,4.0,2.97
0.343,4.0,2.96
0.343,4.0,2.96
0.344,4.01,2.96
0.344,4.02,2.96
0.345,4.02,2.95
0.345,3.97,2.83
0.346,4.09,3.03
0.346,4.36,3.3
0.347,4.55,3.54
0.347,4.68,3.72
0.348,4.74,3.83
0.348,4.77,3.92
0.349,4.81,3.97
0.349,4.82,4.0
0.35,4.82,4.03
0.35,4.83,4.05
0.351,4.83,4.06
0.351,4.83,4.07
0.352,4.83,4.09
0.352,4.83,4.1
0.352,4.84,4.11
0.353,4.84,4.11
0.353,4.84,4.12
0.354,4.84,4.12
0.354,4.84,4.12
0.355,4.84,4.13
0.355,4.84,4.13
0.356,4.84,4.13
0.356,4.85,4.14
0.357,4.84,4.13
0.357,4.84,4.13
0.358,4.84,4.14
0.358,4.84,4.14
0.359,4.84,4.14
0.359,4.84,4.14
0.36,4.85,4.16
0.36,4.85,4.16
0.361,4.84,4.15
0.361,4.84,4.16
0.362,4.84,4.16
0.362,4.85,4.17
0.363,4.85,4.16
0.363,4.85,4.16
0.364,4.84,4.16
0.364,4.84,4.16
0.365,4.85,4.18
0.365,4.86,4.18
0.366,4.85,4.16
0.366,4.84,4.16
0.367,4.85,4.17
0.367,4.85,4.17
0.368,4.85,4.17
0.368,4.85,4.16
0.369,4.85,4.17
0.369,4.85,4.17
0.37,4.85,4.17
0.37,4.85,4.17
0.371,4.84,4.17
0.371,4.85,4.17
0.372,4.85,4.17
0.372,4.85,4.17
0.373,4.85,4.16
0.373,4.84,4.16
0.374,4.85,4.16
0.374,4.85,4.16
0.375,4.85,4.16
0.376,4.84,4.16
0.376,4.85,4.16
0.377,4.85,4.17
0.377,4.85,4.16
0.378,4.84,4.16
0.378,4.84,4.16
0.379,4.84,4.16
0.379,4.84,4.16
0.38,4.84,4.16
0.38,4.85,4.16
0.381,4.85,4.16
0.381,4.84,4.16
0.382,4.84,4.15
0.382,4.84,4.16
0.383,4.86,4.18
0.383,4.84,4.04
0.384,4.73,3.92
0.384,4.66,3.83
0.385,4.61,3.76
0.385,4.57,3.7
0.386,4.52,3.65
0.386,4.48,3.6
0.387,4.45,3.56
0.387,4.42,3.52
0.388,4.39,3.48
0.388,4.36,3.45
0.389,4.34,3.42
0.389,4.32,3.38
0.39,4.29,3.35
0.39,4.11,3.0
0.391,4.11,3.0
0.391,4.11,2.99
0.392,4.1,2.98
0.392,4.09,2.97
0.393,4.08,2.96
0.393,4.07,2.94
0.394,4.05,2.93
0.394,4.03,2.91
0.395,4.02,2.89
0.395,4.0,2.88
0.396,4.0,2.87
0.396,3.99,2.85
0.397,3.97,2.85
0.397,3.97,2.84
0.398,3.97,2.83
0.398,3.96,2.82
0.399,3.95,2.82
0.399,3.97,2.83
0.4,3.98,2.83
0.4,3.97,2.82
0.401,3.98,2.83
0.401,3.99,2.84
0.402,4.0,2.85
0.402,4.01,2.86
0.403,4.02,2.86
0.403,4.03,2.87
0.404,4.05,2.88
0.404,4.06,2.89
0.405,4.06,2.9
0.405,4.85,4.14
0.406,4.85,4.15
0.406,4.85,4.15
0.407,4.85,4.15
0.407,4.85,4.15
0.408,4.85,4.16
0.408,4.85,4.15
0.409,4.85,4.15
0.409,4.85,4.16
0.41,4.86,4.16
0.41,4.85,4.16
0.411,4.85,4.15
0.411,4.85,4.16
0.412,4.85,4.15
0.412,4.84,4.15
0.413,4.85,4.15
0.413,4.84,4.15
0.414,4.84,4.15
0.414,4.84,4.15
0.415,4.84,4.15
0.415,4.85,4.15
0.416,4.84,4.15
0.416,4.84,4.15
0.416,4.85,4.16
0.417,4.85,4.16
0.417,4.85,4.15
0.418,4.85,4.15
0.418,4.84,4.15
0.419,4.84,4.15
0.419,4.84,4.16
0.42,4.84,4.15
0.42,4.84,4.16
0.421,4.85,4.16
0.421,4.84,4.16
0.422,4.85,4.16
0.422,4.85,4.16
0.423,4.85,4.17
0.423,4.85,4.16
0.424,4.85,4.16
0.424,4.85,4.17
0.425,4.86,4.18
0.425,4.85,4.17
0.426,4.84,4.16
0.426,4.85,4.17
0.427,4.85,4.17
0.427,4.86,4.18
0.428,4.85,4.17
0.428,4.85,4.16
0.429,4.84,4.16
0.429,4.85,4.17
0.43,4.85,4.16
0.43,4.84,4.16
0.431,4.84,4.16
0.431,4.85,4.16
0.432,4.85,4.15
0.432,4.83,4.14
0.433,4.84,4.16
0.433,4.85,4.16
0.434,4.85,4.15
0.434,4.83,4.14
0.435,4.29,3.38
0.435,4.26,3.33
0.436,4.23,3.3
0.436,4.21,3.27
0.437,4.19,3.25
0.438,4.18,3.23
0.438,4.16,3.2
0.439,4.15,3.19
0.439,4.14,3.17
0.44,4.14,3.16
0.44,4.14,3.15
0.441,4.14,3.15
0.441,4.14,3.14
0.442,4.15,3.14
0.442,4.15,3.13
0.443,4.15,3.12
0.443,4.15,3.12
0.444,4.15,3.12
0.444,4.15,3.11
0.445,4.15,3.1
0.445,4.15,3.09
0.446,4.14,3.08
0.446,4.14,3.07
0.447,4.14,3.06
0.447,4.12,3.04
0.448,4.1,3.03
0.448,4.09,3.01
0.449,4.08,2.99
0.449,4.06,2.97
0.45,4.03,2.95
0.45,4.72,3.79
0.451,4.76,3.87
0.451,4.78,3.92
0.452,4.8,3.96
0.452,4.8,3.99
0.453,4.81,4.01
0.453,4.81,4.03
0.454,4.82,4.05
0.454,4.83,4.06
0.455,4.83,4.07
0.455,4.83,4.08
0.456,4.83,4.08
0.456,4.83,4.09
0.457,4.83,4.1
0.457,4.84,4.11
0.458,4.85,4.12
0.458,4.84,4.12
0.459,4.83,4.12
0.459,4.84,4.13
0.46,4.84,4.13
0.46,4.85,4.14
0.461,4.84,4.14
0.461,4.84,4.14
0.462,4.85,4.14
0.462,4.85,4.15
0.463,4.85,4.14
0.463,4.84,4.15
0.464,4.85,4.15
0.464,4.85,4.15
0.465,4.85,4.16
0.465,4.84,4.15
0.466,4.84,4.15
0.466,4.84,4.16
0.467,4.84,4.16
0.467,4.84,4.16
0.468,4.84,4.16
0.468,4.84,4.15
0.469,4.84,4.15
0.469,4.84,4.15
0.47,4.84,4.15
0.47,4.84,4.15
0.471,4.84,4.14
0.471,4.84,4.15
0.472,4.84,4.15
0.472,4.84,4.15
0.473,4.84,4.14
0.473,4.84,4.15
0.474,4.84,4.15
0.474,4.85,4.15
0.475,4.84,4.15
0.475,4.84,4.15
0.476,4.84,4.15
0.476,4.84,4.16
0.477,4.85,4.15
0.477,4.84,4.16
0.478,4.84,4.16
0.478,4.85,4.16
0.479,4.85,4.16
0.479,4.85,4.16
0.48,4.84,4.16
0.48,4.84,4.16
0.48,4.84,4.15
0.481,4.84,4.16
0.481,4.85,4.16
0.482,4.84,4.16
0.482,4.84,4.15
0.483,4.84,4.16
0.483,4.84,4.16
0.484,4.85,4.16
0.484,4.84,4.15
0.485,4.84,4.15
0.485,4.84,4.15
0.486,4.8,4.0
0.486,4.72,3.9
0.487,4.65,3.81
0.487,4.59,3.73
0.488,4.53,3.66
0.488,4.48,3.6
0.489,4.44,3.54
0.489,4.39,3.5
0.49,4.35,3.45
0.49,4.32,3.41
0.491,4.28,3.36
0.491,4.25,3.33
0.492,4.23,3.3
0.492,4.22,3.28
0.493,4.2,3.25
0.493,4.19,3.23
0.494,4.18,3.22
0.494,4.18,3.2
0.495,3.99,2.88
0.495,4.0,2.88
0.496,4.0,2.89
0.496,4.02,2.89
0.497,4.03,2.89
0.497,4.04,2.9
0.498,4.05,2.91
0.498,4.06,2.92
0.499,4.07,2.92
0.499,4.07,2.93
0.5,4.09,2.94
0.501,4.09,2.94
0.501,4.09,2.94
0.502,4.09,2.93
0.502,4.09,2.93
0.503,4.09,2.93
0.503,4.09,2.92
0.504,4.08,2.91
0.504,4.07,2.9
0.505,4.06,2.89
0.505,4.04,2.88
0.506,4.03,2.86
0.506,4.02,2.85
0.507,4.0,2.84
0.507,3.99,2.82
0.508,3.98,2.81
0.508,3.97,2.8
0.509,3.97,2.8
0.509,3.96,2.8
0.51,3.97,2.83
0.51,4.84,4.13
0.511,4.84,4.13
0.511,4.84,4.13
0.512,4.83,4.13
0.512,4.84,4.13
0.512,4.84,4.13
0.513,4.84,4.13
0.513,4.84,4.13
0.514,4.84,4.14
0.514,4.84,4.13
0.515,4.84,4.14
0.515,4.84,4.14
0.516,4.84,4.15
0.516,4.85,4.15
0.517,4.85,4.15
0.517,4.84,4.14
0.518,4.84,4.14
0.518,4.83,4.14
0.519,4.84,4.15
0.519,4.85,4.16
0.52,4.86,4.15
0.52,4.84,4.14
0.521,4.83,4.14
0.521,4.84,4.14
0.522,4.84,4.15
0.522,4.85,4.15
0.523,4.84,4.15
0.523,4.84,4.14
0.524,4.84,4.15
0.524,4.84,4.14
0.525,4.84,4.15
0.525,4.83,4.14
0.526,4.84,4.15
0.526,4.84,4.14
0.527,4.84,4.14
0.527,4.83,4.14
0.528,4.84,4.14
0.528,4.84,4.14
0.529,4.84,4.14
0.529,4.83,4.14
0.53,4.83,4.14
0.53,4.84,4.14
0.531,4.84,4.14
0.531,4.83,4.14
0.532,4.84,4.15
0.532,4.85,4.15
0.533,4.84,4.15
0.533,4.84,4.15
0.534,4.84,4.15
0.534,4.84,4.15
0.535,4.84,4.15
0.535,4.84,4.15
0.536,4.84,4.15
0.536,4.84,4.15
0.537,4.84,4.15
0.537,4.84,4.15
0.538,4.84,4.15
0.538,4.84,4.16
0.539,4.85,4.16
0.539,4.84,4.15
0.54,4.28,3.31
0.54,4.26,3.28
0.541,4.25,3.27
0.541,4.23,3.24
0.542,4.21,3.21
0.542,4.19,3.19
0.543,4.17,3.17
0.543,4.15,3.14
0.544,4.13,3.11
0.544,4.11,3.09
0.545,4.09,3.07
0.545,4.07,3.04
0.546,4.05,3.02
0.546,4.05,3.01
0.547,4.04,3.0
0.547,4.03,2.98
0.548,4.01,2.97
0.548,4.01,2.96
0.549,4.02,2.96
0.549,4.02,2.95
0.55,4.02,2.95
0.55,4.02,2.95
0.551,4.03,2.94
0.551,4.03,2.95
0.552,4.05,2.95
0.552,4.05,2.96
0.553,4.06,2.96
0.553,4.07,2.97
0.554,4.08,2.97
0.554,4.09,2.97
0.555,4.26,3.18
0.555,4.47,3.42
0.556,4.62,3.63
0.556,4.72,3.78
0.557,4.76,3.86
0.557,4.78,3.92
0.558,4.79,3.96
0.558,4.8,3.99
0.559,4.81,4.01
0.559,4.83,4.03
0.56,4.82,4.04
0.56,4.82,4.05
0.561,4.83,4.06
0.561,4.83,4.08
0.562,4.83,4.08
0.562,4.83,4.08
0.563,4.83,4.09
0.564,4.83,4.09
0.564,4.83,4.09
0.565,4.83,4.1
0.565,4.84,4.1
0.566,4.84,4.1
0.566,4.83,4.11
0.567,4.84,4.11
0.567,4.83,4.12
0.568,4.83,4.11
0.568,4.83,4.12
0.569,4.84,4.12
0.569,4.84,4.12
0.57,4.84,4.12
0.57,4.84,4.14
0.571,4.85,4.15
0.571,4.84,4.14
0.572,4.84,4.14
0.572,4.84,4.14
0.573,4.84,4.15
0.573,4.85,4.15
0.574,4.85,4.15
0.574,4.84,4.15
0.575,4.84,4.15
0.575,4.85,4.15
0.576,4.85,4.15
0.576,4.84,4.15
0.577,4.84,4.15
0.577,4.83,4.14
0.578,4.84,4.14
0.578,4.84,4.14
0.579,4.85,4.15
0.579,4.85,4.15
0.58,4.84,4.14
0.58,4.83,4.14
0.581,4.84,4.14
